number,course,score
1,西賀茂車庫前 － 出町柳駅前,135
3,松尾橋 － 北白川仕伏町,84
4,西賀茂車庫前 － 京都駅前,102
5,岩倉操車場前 － 京都駅前,93
6,京都駅前 － 玄琢,108
8,四条烏丸 － 栂ノ尾,197
9,西賀茂車庫前 － 京都駅前,94
10,山越中町 － 三条京阪前,144
11,山越中町 (嵐山) 三条京阪前,128
12,立命館大学前 － 三条京阪前,106
13,四条烏丸 － 久世工業団地前,177
15,立命館大学前 － 三条京阪前,121
16,京都駅八条口 － 京都駅前,260
17,錦林車庫前 － 京都駅前,80
18,二条駅西口 － 久我石原町,215
19,横大路車庫前 － 京都駅前,191
20,横大路車庫前 (納所町) 横大路車庫前,215
22,横大路車庫前 － 南工業団地前,239
26,山越中町 － 京都駅前,127
27,京都外大前 － 四条烏丸,154
28,京都駅前 － 大覚寺,112
29,洛西バスタ－ミナル － 四条烏丸,142
31,岩倉操車場前 － 四条烏丸,122
32,京都外大前 － 銀閣寺道,107
33,洛西バスタ－ミナル － 京都駅前,142
37,西賀茂車庫前 － 三条京阪前,126
42,京都駅前 － 洛西口駅前,179
43,四条烏丸 － 久世橋東詰,213
46,西賀茂車庫前 － 岡崎公園 ロームシアター京都・みやこめっせ前,100
50,京都駅前 － 立命館大学前,108
51,立命館大学前 － 三条京阪前,138
52,立命館大学前 （丸太町七本松） 四条烏丸,114
55,立命館大学前 （千本今出川） 四条烏丸,125
58,梅小路公園・京都鉄道博物館前 － 九条車庫前,113
59,山越中町 － 三条京阪前,125
65,岩倉操車場前 － 四条烏丸,158
67,西賀茂車庫前 － 松尾橋,149
69,二条駅西口 － 桂駅東口,161
70,小畑川公園北口 － 太秦天神川駅前,105
71,九条車庫前 － 松尾橋,162
73,洛西バスタ－ミナル － 京都駅前,115
75,京都駅前 － 山越中町,187
78,京都駅前 － 久世工業団地前,223
80,太秦天神川駅前 － 祇園,123
81,横大路車庫前 － 京都駅前,131
84,九条車庫前 － 太秦天神川駅前,247
86,梅小路公園・京都鉄道博物館前 － 三条京阪前,84
88,九条車庫前 － 梅小路公園・京都鉄道博物館前,151
91,四条烏丸 － 大覚寺,134
93,錦林車庫前 － 嵐山,133
201,みぶ操車場前 (百万遍) みぶ操車場前,84
202,九条車庫前 (熊野神社前) 九条車庫前,88
203,錦林車庫前 (西大路四条) 錦林車庫前,83
204,北大路バスタ－ミナル (西ノ京円町) 北大路バスタ－ミナル,103
205,九条車庫前 (洛北高校前) 九条車庫前,85
206,北大路バスタ－ミナル (東山七条) 北大路バスタ－ミナル,79
207,九条車庫前 (祇園) 九条車庫前,70
208,九条車庫前 (東山七条) 九条車庫前,122
北１,北大路バスタ－ミナル － 玄琢,104
北３,北大路バスタ－ミナル － 京都産大前,127
北８,北大路バスタ－ミナル (修学院道) 北大路バスタ－ミナル,143
西１,洛西バスタ－ミナル － 桂駅西口,274
西２,洛西バスタ－ミナル － 桂駅西口,181
西３,洛西バスタ－ミナル － 桂駅西口,301
西４,洛西バスタ－ミナル － ＪＲ桂川駅前,176
西５,桂坂中央 － 桂駅西口,244
西６,桂坂中央 － 桂駅西口,181
西８,洛西バスタ－ミナル － 桂駅西口,203
南１,竹田駅西口 － 桂駅東口,241
南２,竹田駅西口 － ＪＲ長岡京東口,164
南３,竹田駅西口 － 横大路車庫前,159
南５,竹田駅東口 － 京都駅前,133
南８,横大路車庫前 － 竹田駅東口,244
Ｍ１,立命館大学前 － 原谷,127