number,devi,feat
横浜,70,御三家
品川,70,御三家
神戸,70,御三家
大宮,65,
川崎,65,
名古屋,67,
京都,67,
大阪,65,
福岡,65,
仙台,65,下剋上狙い
世田谷,68,下剋上狙い
杉並,67,下剋上狙い
湘南,65,良いイメージ
札幌,60,
宮城,60,
川口,60,
所沢,60,
川越,60,
千葉,60,
柏,60,
練馬,60,
八王子,60,
金沢,60,
広島,60,
富士山,60,
那須,60,良いイメージ
飛騨,60,良いイメージ
伊豆,60,良いイメージ
鈴鹿,60,良いイメージ
倉敷,60,良いイメージ
函館,50,
盛岡,50,
平泉,50,
水戸,50,
前橋,50,
高崎,50,
熊谷,50,
春日部,50,
青森,50,
岩手,50,
庄内,50,
越谷,50,
成田,50,
習志野,50,
袖ヶ浦,50,
多摩,50,
山梨,50,
新潟,50,
長岡,50,
郡山,50,
宇都宮,50,
会津,50,
長野,50,
松本,50,
諏訪,50,
富山,50,
石川,50,
福井,50,
岐阜,50,
静岡,50,
浜松,50,
沼津,50,
豊橋,50,
岡崎,50,
豊田,50,
一宮,50,
三重,50,
滋賀,50,
堺,50,
奈良,50,
和歌山,50,
岡山,50,
福山,50,
山口,50,
下関,50,
徳島,50,
香川,50,
愛媛,50,
久留米,50,
高知,50,
長崎,50,
佐世保,50,
熊本,50,
大分,50,
宮城,50,
奄美,50,
鹿児島,50,
沖縄,50,
旭川,50,
室蘭,50,
釧路,50,
帯広,50,
北見,50,どこ？？？
三河,50,どこ？？？
春日井,50,どこ？？？
八戸,45,
秋田,45,
山形,45,
鳥取,45,
群馬,45,
福島,45,
野田,45,
相模,45,
島根,45,
佐賀,45,
いわき,45,ひらがな三銃士
つくば,45,ひらがな三銃士
とちぎ,45,ひらがな三銃士
土浦,30,凶悪8ナンバー
足立,30,凶悪8ナンバー
なにわ,30,凶悪8ナンバー
姫路,30,凶悪8ナンバー
和泉,30,凶悪8ナンバー
筑豊,30,凶悪8ナンバー
尾張小牧,30,凶悪8ナンバー
北九州,30,凶悪8ナンバー